orthogroup	cm_protein	cz_protein
OG0006505	KAF2212733	KAM3414851.1
OG0006726	KAF2215056	KAM3418402.1
OG0006793	KAF2217806	KAM3419779.1
OG0006797	KAF2208862	KAM3419310.1
OG0006864	KAF2212311	KAM3415861.1
OG0006930	KAF2208250	KAM3421205.1
OG0006941	KAF2211113	KAM3421898.1
OG0006965	KAF2210231	KAM3421483.1
OG0006975	KAF2210728	KAM3421734.1
OG0006977	KAF2210741	KAM3421744.1
OG0007009	KAF2210688	KAM3421689.1
OG0007032	KAF2208039	KAM3421040.1
OG0007046	KAF2216147	KAM3422549.1
OG0007061	KAF2216490	KAM3422916.1
OG0007082	KAF2216244	KAM3422741.1
OG0007113	KAF2213017	KAM3423506.1
OG0007128	KAF2213098	KAM3423420.1
OG0007145	KAF2213347	KAM3423736.1
OG0007170	KAF2217589	KAM3420158.1
OG0007194	KAF2218056	KAM3419673.1
OG0007201	KAF2217797	KAM3419772.1
OG0007332	KAF2216810	KAM3424748.1
OG0007337	KAF2216742	KAM3424820.1
OG0007421	KAF2213805	KAM3416570.1
OG0007439	KAF2215312	KAM3416836.1
OG0007533	KAF2208435	KAM3417974.1
OG0007610	KAF2213450	KAM3413780.1
OG0007617	KAF2213751	KAM3414152.1
OG0007625	KAF2206738	KAM3413837.1
OG0007655	KAF2206280	KAM3413644.1
OG0007660	KAF2206592	KAM3415145.1
OG0007665	KAF2212583	KAM3414934.1
OG0007699	KAF2209969	KAM3414619.1
OG0007756	KAF2214672	KAM3418811.1
OG0007770	KAF2214932	KAM3418546.1
OG0007773	KAF2209795	KAM3418222.1
OG0007806	KAF2211555	KAM3419080.1
OG0007847	KAF2210870	KAM3415538.1
OG0007868	KAF2214240	KAM3422215.1
OG0007871	KAF2214293	KAM3421990.1
OG0007880	KAF2214384	KAM3422076.1
OG0007888	KAF2214545	KAM3422330.1
OG0007891	KAF2209473	KAM3421129.1
OG0007905	KAF2211141	KAM3421923.1
OG0007908	KAF2211164	KAM3421947.1
OG0007920	KAF2206911	KAM3422279.1
OG0007964	KAF2210549	KAM3421539.1
OG0007988	KAF2209196	KAM3422628.1
OG0008001	KAF2216229	KAM3422729.1
OG0008026	KAF2213192	KAM3423563.1
OG0008086	KAF2217673	KAM3420066.1
OG0008110	KAF2217418	KAM3420344.1
OG0008118	KAF2206259	KAM3419603.1
OG0008125	KAF2217483	KAM3420219.1
OG0008126	KAF2217484	KAM3420220.1
OG0008132	KAF2210525	KAM3420430.1
OG0008134	KAF2210523	KAM3420431.1
OG0008140	KAF2210135	KAM3420721.1
OG0008183	KAF2217214	KAM3424310.1
OG0008208	KAF2217041	KAM3424505.1
OG0008227	KAF2216823	KAM3424733.1
OG0008228	KAF2216813	KAM3424745.1
OG0008252	KAF2211690	KAM3425323.1
OG0008257	KAF2211761	KAM3425391.1
OG0008301	KAF2215083	KAM3416602.1
OG0008311	KAF2207033	KAM3417158.1
OG0008315	KAF2215334	KAM3416860.1
OG0008325	KAF2215101	KAM3416617.1
OG0008333	KAF2215284	KAM3416810.1
OG0008336	KAF2213920	KAM3416445.1
OG0008370	KAF2214140	KAM3416218.1
OG0008405	KAF2206346	KAM3418181.1
OG0008406	KAF2208434	KAM3417972.1
OG0008411	KAF2208346	KAM3417884.1
OG0008421	KAF2211964	KAM3417729.1
OG0008424	KAF2211976	KAM3417717.1
OG0008440	KAF2212055	KAM3417642.1
OG0008453	KAF2208611	KAM3417370.1
OG0008461	KAF2208577	KAM3417326.1
OG0008467	KAF2206426	KAM3413482.1
OG0008480	KAF2206414	KAM3414302.1
OG0008483	KAF2213673	KAM3414074.1
OG0008485	KAF2213672	KAM3414073.1
OG0008486	KAF2213515	KAM3414035.1
OG0008491	KAF2213458	KAM3413786.1
OG0008515	KAF2211300	KAM3414390.1
OG0008541	KAF2212603	KAM3414957.1
OG0008699	KAF2212451	KAM3415710.1
OG0008744	KAF2206929	KAM3422297.1
OG0008791	KAF2207643	KAM3419514.1
OG0009001	KAF2211968	KAM3417725.1
OG0009099	KAF2210535	KAM3421527.1
OG0009184	KAF2208353	KAM3417891.1
OG0009907	KAF2216848	KAM3424711.1
OG0009912	KAF2217294	KAM3424382.1
OG0009914	KAF2216611	KAM3418464.1
OG0009938	KAF2214995	KAM3422624.1
OG0009939	KAF2214241	KAM3422216.1
OG0009946	KAF2213962	KAM3416401.1
OG0009962	KAF2212777	KAM3414809.1
OG0009965	KAF2212840	KAM3414739.1
OG0009970	KAF2212168	KAM3416025.1
OG0009978	KAF2211290	KAM3414405.1
OG0009982	KAF2211393	KAM3414264.1
OG0010012	KAF2209596	KAM3421074.1
OG0010018	KAF2209046	KAM3420898.1
OG0010027	KAF2208632	KAM3417229.1
OG0010028	KAF2208257	KAM3421214.1
OG0010030	KAF2208056	KAM3413565.1
OG0010040	KAF2207540	KAM3423997.1
OG0010042	KAF2207622	KAM3423903.1
OG0010049	KAF2206904	KAM3416119.1
OG0010059	KAF2206220	KAM3420413.1
