orthogroup,cm_protein,cz_protein
OG0001324,KAF2212707,KAM3414892.1
OG0001327,KAF2206988,KAM3423248.1
OG0001329,KAF2217996,KAM3419967.1
OG0001332,KAF2212943,KAM3423298.1
OG0001337,KAF2206850,KAM3416187.1
OG0001339,KAF2207538,KAM3423999.1
OG0001342,KAF2207664,KAM3419536.1
OG0001348,KAF2217715,KAM3420030.1
OG0001351,KAF2217852,KAM3419825.1
OG0001352,KAF2217824,KAM3419794.1
OG0001357,KAF2210441,KAM3420529.1
OG0001358,KAF2210465,KAM3420499.1
OG0001360,KAF2217541,KAM3420278.1
OG0001361,KAF2217519,KAM3420262.1
OG0001364,KAF2210153,KAM3420700.1
OG0001368,KAF2210467,KAM3420497.1
OG0001369,KAF2210469,KAM3420496.1
OG0001370,KAF2212932,KAM3414587.1
OG0001374,KAF2206440,KAM3415201.1
OG0001375,KAF2217349,KAM3424190.1
OG0001376,KAF2208930,KAM3424099.1
OG0001379,KAF2208641,KAM3417424.1
OG0001380,KAF2217182,KAM3424270.1
OG0001387,KAF2217000,KAM3424553.1
OG0001388,KAF2216906,KAM3424647.1
OG0001389,KAF2216930,KAM3424623.1
OG0001391,KAF2215697,KAM3425628.1
OG0001392,KAF2211800,KAM3425434.1
OG0001393,KAF2215568,KAM3425500.1
OG0001394,KAF2215622,KAM3425552.1
OG0001401,KAF2215862,KAM3425145.1
OG0001405,KAF2207281,KAM3425728.1
OG0001407,KAF2213815,KAM3416556.1
OG0001408,KAF2215148,KAM3416669.1
OG0001409,KAF2215112,KAM3416626.1
OG0001412,KAF2215203,KAM3416722.1
OG0001413,KAF2215178,KAM3416697.1
OG0001414,KAF2215175,KAM3416694.1
OG0001415,KAF2215386,KAM3416908.1
OG0001418,KAF2215468,KAM3416969.1
OG0001423,KAF2211901,KAM3417803.1
OG0001425,KAF2208673,KAM3417443.1
OG0001427,KAF2208764,KAM3417543.1
OG0001431,KAF2213470,KAM3413863.1
OG0001435,KAF2213398,KAM3413686.1
OG0001436,KAF2213676,KAM3414078.1
OG0001437,KAF2213684,KAM3414090.1
OG0001438,KAF2213745,KAM3414147.1
OG0001439,KAF2206746,KAM3413826.1
OG0001441,KAF2213637,KAM3413929.1
OG0001443,KAF2213604,KAM3413896.1
OG0001445,KAF2213572,KAM3413985.1
OG0001448,KAF2211285,KAM3414410.1
OG0001449,KAF2206309,KAM3413668.1
OG0001452,KAF2206589,KAM3415190.1
OG0001454,KAF2206454,KAM3415193.1
OG0001455,KAF2206617,KAM3415156.1
OG0001457,KAF2212783,KAM3414804.1
OG0001459,KAF2212558,KAM3415055.1
OG0001460,KAF2209910,KAM3414527.1
OG0001461,KAF2209911,KAM3414528.1
OG0001463,KAF2209973,KAM3414624.1
OG0001464,KAF2209948,KAM3414656.1
OG0001466,KAF2212871,KAM3414706.1
OG0001476,KAF2210809,KAM3415478.1
OG0001477,KAF2214614,KAM3418876.1
OG0001478,KAF2214624,KAM3418867.1
OG0001479,KAF2214636,KAM3418854.1
OG0001480,KAF2214640,KAM3418850.1
OG0001481,KAF2214641,KAM3418849.1
OG0001483,KAF2214644,KAM3418845.1
OG0001485,KAF2214653,KAM3418834.1
OG0001490,KAF2214717,KAM3418757.1
OG0001491,KAF2214964,KAM3418513.1
OG0001493,KAF2209675,KAM3418351.1
OG0001495,KAF2209744,KAM3418276.1
OG0001496,KAF2209767,KAM3418252.1
OG0001499,KAF2209784,KAM3418233.1
OG0001501,KAF2214746,KAM3418730.1
OG0001503,KAF2214763,KAM3418704.1
OG0001505,KAF2214795,KAM3418671.1
OG0001506,KAF2214818,KAM3418650.1
OG0001507,KAF2214856,KAM3418616.1
OG0001508,KAF2209662,KAM3418362.1
OG0001513,KAF2215014,KAM3418455.1
OG0001517,KAF2214984,KAM3418492.1
OG0001522,KAF2214574,KAM3418920.1
OG0001523,KAF2214568,KAM3418927.1
OG0001524,KAF2214559,KAM3418936.1
OG0001526,KAF2211458,KAM3418981.1
OG0001527,KAF2211471,KAM3418992.1
OG0001529,KAF2211528,KAM3419049.1
OG0001532,KAF2211592,KAM3419124.1
OG0001533,KAF2211596,KAM3419127.1
OG0001534,KAF2211609,KAM3419144.1
OG0001537,KAF2207420,KAM3419175.1
OG0001538,KAF2207440,KAM3419186.1
OG0001541,KAF2207493,KAM3419237.1
OG0001542,KAF2207500,KAM3419239.1
OG0001544,KAF2207516,KAM3419260.1
OG0001548,KAF2207882,KAM3419441.1
OG0001549,KAF2207892,KAM3419452.1
OG0001550,KAF2207917,KAM3419481.1
OG0001551,KAF2207919,KAM3419483.1
OG0001552,KAF2207923,KAM3419488.1
OG0001553,KAF2207926,KAM3419491.1
OG0001554,KAF2207938,KAM3419501.1
OG0001556,KAF2208811,KAM3419360.1
OG0001558,KAF2208821,KAM3419348.1
OG0001562,KAF2208842,KAM3419325.1
OG0001564,KAF2208872,KAM3419299.1
OG0001565,KAF2208792,KAM3419381.1
OG0001567,KAF2207949,KAM3415225.1
OG0001568,KAF2209268,KAM3415265.1
OG0001569,KAF2209139,KAM3415772.1
OG0001570,KAF2209283,KAM3415280.1
OG0001571,KAF2209287,KAM3415284.1
OG0001572,KAF2209291,KAM3415290.1
OG0001573,KAF2209296,KAM3415295.1
OG0001575,KAF2209331,KAM3415330.1
OG0001576,KAF2209333,KAM3415332.1
OG0001577,KAF2209339,KAM3415337.1
OG0001578,KAF2209341,KAM3415339.1
OG0001579,KAF2209364,KAM3415360.1
OG0001580,KAF2209403,KAM3415404.1
OG0001581,KAF2209408,KAM3415409.1
OG0001584,KAF2213980,KAM3416381.1
OG0001585,KAF2212439,KAM3415718.1
OG0001589,KAF2212492,KAM3415663.1
OG0001590,KAF2212493,KAM3415662.1
OG0001591,KAF2212494,KAM3415661.1
OG0001592,KAF2212496,KAM3415660.1
OG0001593,KAF2212500,KAM3415656.1
OG0001594,KAF2212504,KAM3415652.1
OG0001595,KAF2210966,KAM3415631.1
OG0001596,KAF2210949,KAM3415615.1
OG0001597,KAF2210926,KAM3415591.1
OG0001599,KAF2210892,KAM3415559.1
OG0001600,KAF2210874,KAM3415541.1
OG0001601,KAF2207093,KAM3417107.1
OG0001602,KAF2210843,KAM3415512.1
OG0001603,KAF2210839,KAM3415508.1
OG0001604,KAF2210810,KAM3415479.1
OG0001605,KAF2210786,KAM3415455.1
OG0001606,KAF2210783,KAM3415451.1
OG0001608,KAF2210776,KAM3415440.1
OG0001612,KAF2212198,KAM3415990.1
OG0001613,KAF2212186,KAM3416001.1
OG0001616,KAF2212292,KAM3415880.1
OG0001619,KAF2212337,KAM3415837.1
OG0001621,KAF2212377,KAM3415795.1
OG0001622,KAF2212378,KAM3415794.1
OG0001623,KAF2212400,KAM3415764.1
OG0001624,KAF2212406,KAM3415756.1
OG0001628,KAF2214237,KAM3422212.1
OG0001629,KAF2214258,KAM3422198.1
OG0001632,KAF2214265,KAM3422189.1
OG0001634,KAF2214281,KAM3421979.1
OG0001635,KAF2214287,KAM3421984.1
OG0001636,KAF2214459,KAM3422260.1
OG0001637,KAF2214308,KAM3422005.1
OG0001638,KAF2214429,KAM3422232.1
OG0001639,KAF2214414,KAM3422219.1
OG0001640,KAF2208699,KAM3417472.1
OG0001641,KAF2214335,KAM3422026.1
OG0001643,KAF2214342,KAM3422031.1
OG0001644,KAF2214388,KAM3422082.1
OG0001645,KAF2214402,KAM3422099.1
OG0001647,KAF2209479,KAM3421122.1
OG0001648,KAF2209471,KAM3421131.1
OG0001649,KAF2211137,KAM3421921.1
OG0001650,KAF2211180,KAM3421963.1
OG0001651,KAF2211173,KAM3421957.1
OG0001657,KAF2206950,KAM3422317.1
OG0001663,KAF2210258,KAM3421514.1
OG0001666,KAF2210208,KAM3421462.1
OG0001667,KAF2210204,KAM3421458.1
OG0001669,KAF2210702,KAM3421705.1
OG0001673,KAF2209567,KAM3421291.1
OG0001675,KAF2209556,KAM3421280.1
OG0001676,KAF2209528,KAM3421244.1
OG0001677,KAF2209508,KAM3421096.1
OG0001678,KAF2209506,KAM3421098.1
OG0001679,KAF2209492,KAM3421110.1
OG0001680,KAF2211027,KAM3421819.1
OG0001681,KAF2211008,KAM3421798.1
OG0001682,KAF2211006,KAM3421797.1
OG0001683,KAF2215753,KAM3425271.1
OG0001684,KAF2210598,KAM3421595.1
OG0001685,KAF2210611,KAM3421610.1
OG0001686,KAF2210613,KAM3421612.1
OG0001689,KAF2210640,KAM3421648.1
OG0001690,KAF2210645,KAM3421652.1
OG0001691,KAF2210659,KAM3421664.1
OG0001692,KAF2210685,KAM3421686.1
OG0001693,KAF2208149,KAM3421394.1
OG0001694,KAF2208188,KAM3421355.1
OG0001695,KAF2208175,KAM3421368.1
OG0001696,KAF2208169,KAM3421375.1
OG0001697,KAF2208159,KAM3421387.1
OG0001698,KAF2208158,KAM3421388.1
OG0001701,KAF2209614,KAM3421053.1
OG0001710,KAF2208078,KAM3413551.1
OG0001713,KAF2208064,KAM3413561.1
OG0001714,KAF2208086,KAM3413542.1
OG0001716,KAF2208115,KAM3413523.1
OG0001717,KAF2216152,KAM3422544.1
OG0001718,KAF2216151,KAM3422545.1
OG0001719,KAF2206757,KAM3413815.1
OG0001720,KAF2206513,KAM3422670.1
OG0001721,KAF2206519,KAM3422662.1
OG0001722,KAF2209218,KAM3422649.1
OG0001724,KAF2209172,KAM3422604.1
OG0001725,KAF2209174,KAM3422608.1
OG0001726,KAF2216165,KAM3422524.1
OG0001727,KAF2216450,KAM3422948.1
OG0001728,KAF2216444,KAM3422956.1
OG0001729,KAF2216470,KAM3422936.1
OG0001730,KAF2216509,KAM3423023.1
OG0001736,KAF2216294,KAM3422801.1
OG0001737,KAF2216299,KAM3422807.1
OG0001738,KAF2216320,KAM3422828.1
OG0001739,KAF2216338,KAM3422848.1
OG0001749,KAF2216384,KAM3422895.1
OG0001750,KAF2216376,KAM3422888.1
OG0001755,KAF2216631,KAM3423176.1
OG0001756,KAF2216615,KAM3423161.1
OG0001757,KAF2216869,KAM3424685.1
OG0001762,KAF2207199,KAM3418135.1
OG0001769,KAF2207006,KAM3423276.1
OG0001773,KAF2213289,KAM3423800.1
OG0001775,KAF2213047,KAM3423475.1
OG0001776,KAF2213046,KAM3423476.1
OG0001778,KAF2213029,KAM3423493.1
OG0001779,KAF2213153,KAM3423523.1
OG0001780,KAF2213001,KAM3423519.1
OG0001781,KAF2213271,KAM3423819.1
OG0001785,KAF2207762,KAM3423846.1
OG0001786,KAF2206193,KAM3423653.1
OG0001790,KAF2213113,KAM3423403.1
OG0001791,KAF2212720,KAM3414879.1
OG0001794,KAF2213065,KAM3423454.1
OG0001797,KAF2212975,KAM3423335.1
OG0001798,KAF2212977,KAM3423337.1
OG0001799,KAF2212980,KAM3423340.1
OG0001800,KAF2213237,KAM3423611.1
OG0001803,KAF2213148,KAM3423361.1
OG0001810,KAF2213082,KAM3423439.1
OG0001811,KAF2207584,KAM3423952.1
OG0001812,KAF2207611,KAM3423915.1
OG0001818,KAF2207694,KAM3419565.1
OG0001819,KAF2207718,KAM3419588.1
OG0001820,KAF2217575,KAM3420176.1
OG0001823,KAF2217595,KAM3420151.1
OG0001824,KAF2217604,KAM3420142.1
OG0001825,KAF2217612,KAM3420133.1
OG0001827,KAF2217622,KAM3420121.1
OG0001828,KAF2217628,KAM3420115.1
OG0001829,KAF2217640,KAM3420101.1
OG0001830,KAF2217662,KAM3420086.1
OG0001832,KAF2217688,KAM3420053.1
OG0001833,KAF2215579,KAM3425510.1
OG0001836,KAF2218004,KAM3419980.1
OG0001839,KAF2217980,KAM3419953.1
OG0001843,KAF2217964,KAM3419933.1
OG0001844,KAF2217952,KAM3419920.1
OG0001848,KAF2218046,KAM3419682.1
OG0001849,KAF2217860,KAM3419836.1
OG0001851,KAF2217855,KAM3419828.1
OG0001853,KAF2217846,KAM3419817.1
OG0001856,KAF2217803,KAM3419775.1
OG0001857,KAF2217754,KAM3419738.1
OG0001858,KAF2218015,KAM3419725.1
OG0001859,KAF2218017,KAM3419723.1
OG0001863,KAF2217381,KAM3420389.1
OG0001864,KAF2217411,KAM3420350.1
OG0001865,KAF2217886,KAM3419858.1
OG0001867,KAF2210388,KAM3420584.1
OG0001868,KAF2210410,KAM3420565.1
OG0001869,KAF2210449,KAM3420520.1
OG0001871,KAF2218095,KAM3419614.1
OG0001873,KAF2217509,KAM3420249.1
OG0001875,KAF2217475,KAM3420211.1
OG0001876,KAF2217481,KAM3420216.1
OG0001878,KAF2217453,KAM3420193.1
OG0001879,KAF2217435,KAM3420323.1
OG0001880,KAF2210508,KAM3420449.1
OG0001884,KAF2210155,KAM3420699.1
OG0001886,KAF2210112,KAM3420740.1
OG0001890,KAF2209035,KAM3420880.1
OG0001893,KAF2209013,KAM3420867.1
OG0001894,KAF2209000,KAM3420855.1
OG0001895,KAF2218070,KAM3419656.1
OG0001896,KAF2218087,KAM3419653.1
OG0001900,KAF2210060,KAM3420798.1
OG0001902,KAF2210341,KAM3420631.1
OG0001905,KAF2208973,KAM3424051.1
OG0001906,KAF2217303,KAM3424392.1
OG0001907,KAF2217247,KAM3424337.1
OG0001910,KAF2217337,KAM3424201.1
OG0001911,KAF2217346,KAM3424193.1
OG0001913,KAF2208923,KAM3424109.1
OG0001914,KAF2208895,KAM3424135.1
OG0001915,KAF2206527,KAM3424018.1
OG0001916,KAF2217284,KAM3424372.1
OG0001917,KAF2217291,KAM3424380.1
OG0001920,KAF2217151,KAM3424235.1
OG0001921,KAF2217152,KAM3424236.1
OG0001922,KAF2217171,KAM3424257.1
OG0001923,KAF2217298,KAM3424387.1
OG0001926,KAF2217059,KAM3424486.1
OG0001929,KAF2217032,KAM3424514.1
OG0001931,KAF2217022,KAM3424529.1
OG0001932,KAF2213569,KAM3413989.1
OG0001933,KAF2217006,KAM3424548.1
OG0001935,KAF2216984,KAM3424567.1
OG0001937,KAF2216960,KAM3424593.1
OG0001938,KAF2216942,KAM3424612.1
OG0001939,KAF2216893,KAM3424659.1
OG0001940,KAF2216894,KAM3424658.1
OG0001942,KAF2216925,KAM3424629.1
OG0001943,KAF2216928,KAM3424626.1
OG0001945,KAF2216860,KAM3424695.1
OG0001946,KAF2216859,KAM3424696.1
OG0001947,KAF2216850,KAM3424709.1
OG0001950,KAF2216777,KAM3424785.1
OG0001951,KAF2216728,KAM3424832.1
OG0001953,KAF2216696,KAM3424874.1
OG0001954,KAF2216681,KAM3424888.1
OG0001956,KAF2216107,KAM3424907.1
OG0001957,KAF2215643,KAM3425574.1
OG0001959,KAF2211718,KAM3425351.1
OG0001960,KAF2211745,KAM3425378.1
OG0001961,KAF2211750,KAM3425381.1
OG0001962,KAF2211759,KAM3425389.1
OG0001964,KAF2211782,KAM3425417.1
OG0001965,KAF2211807,KAM3425442.1
OG0001967,KAF2211836,KAM3425471.1
OG0001968,KAF2211837,KAM3425472.1
OG0001969,KAF2215556,KAM3425489.1
OG0001970,KAF2215562,KAM3425494.1
OG0001971,KAF2215566,KAM3425498.1
OG0001972,KAF2215606,KAM3425537.1
OG0001973,KAF2216096,KAM3424918.1
OG0001975,KAF2216081,KAM3424934.1
OG0001976,KAF2216078,KAM3424940.1
OG0001978,KAF2216075,KAM3424945.1
OG0001979,KAF2216038,KAM3424983.1
OG0001980,KAF2216020,KAM3425002.1
OG0001981,KAF2207046,KAM3417132.1
OG0001982,KAF2215985,KAM3425035.1
OG0001984,KAF2215977,KAM3425041.1
OG0001985,KAF2215932,KAM3425085.1
OG0001988,KAF2215865,KAM3425150.1
OG0001990,KAF2215879,KAM3425164.1
OG0001991,KAF2215855,KAM3425170.1
OG0001995,KAF2215758,KAM3425266.1
OG0001996,KAF2215748,KAM3425275.1
OG0001997,KAF2215710,KAM3425293.1
OG0001998,KAF2215706,KAM3425297.1
OG0001999,KAF2207309,KAM3425702.1
OG0002000,KAF2207310,KAM3425701.1
OG0002004,KAF2207236,KAM3425785.1
OG0002005,KAF2211671,KAM3425631.1
OG0002006,KAF2211667,KAM3425635.1
OG0002007,KAF2207300,KAM3425710.1
OG0002009,KAF2207024,KAM3417164.1
OG0002010,KAF2207098,KAM3417112.1
OG0002011,KAF2207039,KAM3417125.1
OG0002014,KAF2215325,KAM3416848.1
OG0002015,KAF2215326,KAM3416850.1
OG0002016,KAF2215331,KAM3416856.1
OG0002018,KAF2215340,KAM3416866.1
OG0002019,KAF2215147,KAM3416667.1
OG0002020,KAF2215090,KAM3413579.1
OG0002022,KAF2215278,KAM3416805.1
OG0002023,KAF2208732,KAM3417507.1
OG0002024,KAF2213916,KAM3416448.1
OG0002026,KAF2213946,KAM3416418.1
OG0002028,KAF2213949,KAM3416414.1
OG0002030,KAF2215259,KAM3416783.1
OG0002031,KAF2215214,KAM3416735.1
OG0002032,KAF2215206,KAM3416726.1
OG0002033,KAF2215199,KAM3416717.1
OG0002034,KAF2215194,KAM3416713.1
OG0002035,KAF2215192,KAM3416711.1
OG0002036,KAF2215149,KAM3416670.1
OG0002038,KAF2215371,KAM3416899.1
OG0002039,KAF2215428,KAM3417010.1
OG0002040,KAF2213998,KAM3416355.1
OG0002041,KAF2213977,KAM3416383.1
OG0002045,KAF2213854,KAM3416514.1
OG0002048,KAF2214169,KAM3416179.1
OG0002051,KAF2215471,KAM3416966.1
OG0002055,KAF2215441,KAM3416997.1
OG0002056,KAF2214133,KAM3416223.1
OG0002057,KAF2214113,KAM3416239.1
OG0002058,KAF2206877,KAM3416151.1
OG0002060,KAF2215539,KAM3417033.1
OG0002061,KAF2207064,KAM3417074.1
OG0002062,KAF2213845,KAM3416525.1
OG0002063,KAF2214074,KAM3416279.1
OG0002065,KAF2214091,KAM3416258.1
OG0002068,KAF2208464,KAM3418007.1
OG0002072,KAF2206366,KAM3418161.1
OG0002076,KAF2208438,KAM3417978.1
OG0002079,KAF2208344,KAM3417883.1
OG0002082,KAF2211877,KAM3417820.1
OG0002083,KAF2211903,KAM3417801.1
OG0002084,KAF2211921,KAM3417786.1
OG0002085,KAF2211930,KAM3417775.1
OG0002088,KAF2211332,KAM3414352.1
OG0002089,KAF2211995,KAM3417697.1
OG0002090,KAF2208722,KAM3417497.1
OG0002092,KAF2208637,KAM3417421.1
OG0002094,KAF2212038,KAM3417658.1
OG0002098,KAF2212066,KAM3417635.1
OG0002099,KAF2212085,KAM3417619.1
OG0002100,KAF2206804,KAM3417210.1
OG0002101,KAF2208606,KAM3417360.1
OG0002103,KAF2208561,KAM3417310.1
OG0002105,KAF2208591,KAM3417343.1
OG0002108,KAF2208475,KAM3417415.1
OG0002109,KAF2213480,KAM3413963.1
OG0002111,KAF2213732,KAM3414134.1
OG0002114,KAF2213507,KAM3414043.1
OG0002115,KAF2213500,KAM3414052.1
OG0002116,KAF2206402,KAM3414292.1
OG0002119,KAF2213683,KAM3414088.1
OG0002120,KAF2211392,KAM3414252.1
OG0002121,KAF2213536,KAM3414018.1
OG0002126,KAF2213741,KAM3414143.1
OG0002127,KAF2214471,KAM3422420.1
OG0002130,KAF2211316,KAM3414367.1
OG0002132,KAF2213552,KAM3414005.1
OG0002133,KAF2213633,KAM3413925.1
OG0002137,KAF2211257,KAM3413500.1
OG0002140,KAF2211203,KAM3414185.1
OG0002141,KAF2211370,KAM3413489.1
OG0002142,KAF2211286,KAM3414409.1
OG0002144,KAF2206779,KAM3413792.1
OG0002146,KAF2206281,KAM3413645.1
OG0002149,KAF2206463,KAM3415187.1
OG0002153,KAF2212835,KAM3414748.1
OG0002155,KAF2212764,KAM3414825.1
OG0002157,KAF2212697,KAM3414903.1
OG0002158,KAF2212691,KAM3414910.1
OG0002159,KAF2212662,KAM3415080.1
OG0002160,KAF2212651,KAM3415008.1
