orthogroup	cm_protein	cz_protein
OG0002031	KAF2215214	KAM3416735.1
OG0002041	KAF2213977	KAM3416383.1
OG0002076	KAF2208438	KAM3417978.1
OG0002092	KAF2208637	KAM3417421.1
OG0002130	KAF2211316	KAM3414367.1
OG0002157	KAF2212697	KAM3414903.1
OG0002199	KAF2214969	KAM3418507.1
OG0002221	KAF2214660	KAM3418826.1
OG0002225	KAF2214669	KAM3418813.1
OG0002231	KAF2214681	KAM3418803.1
OG0002248	KAF2214958	KAM3418517.1
OG0002250	KAF2209686	KAM3418340.1
OG0002289	KAF2209735	KAM3418288.1
OG0002290	KAF2209737	KAM3418283.1
OG0002302	KAF2209761	KAM3418259.1
OG0002321	KAF2214756	KAM3418717.1
OG0002333	KAF2214775	KAM3418694.1
OG0002361	KAF2214820	KAM3418648.1
OG0002384	KAF2214862	KAM3418609.1
OG0002402	KAF2214915	KAM3418559.1
OG0002404	KAF2214909	KAM3418565.1
OG0002416	KAF2214886	KAM3418586.1
OG0002428	KAF2215031	KAM3418438.1
OG0002438	KAF2215009	KAM3418460.1
OG0002440	KAF2215004	KAM3418469.1
OG0002487	KAF2211424	KAM3418948.1
OG0002504	KAF2211454	KAM3418978.1
OG0002512	KAF2211468	KAM3418990.1
OG0002515	KAF2211476	KAM3418997.1
OG0002532	KAF2211512	KAM3419034.1
OG0002533	KAF2211511	KAM3419033.1
OG0002540	KAF2211521	KAM3419043.1
OG0002584	KAF2207430	KAM3419164.1
OG0002616	KAF2207480	KAM3419223.1
OG0002628	KAF2207509	KAM3419253.1
OG0002631	KAF2207512	KAM3419256.1
OG0002665	KAF2207900	KAM3419460.1
OG0002674	KAF2207913	KAM3419476.1
OG0002676	KAF2207922	KAM3419487.1
OG0002698	KAF2208870	KAM3419305.1
OG0002703	KAF2208857	KAM3419314.1
OG0002706	KAF2208875	KAM3419296.1
OG0002709	KAF2206700	KAM3419293.1
OG0002726	KAF2208796	KAM3419377.1
OG0002745	KAF2207956	KAM3415219.1
OG0002748	KAF2207952	KAM3415222.1
OG0002753	KAF2209234	KAM3415233.1
OG0002757	KAF2209240	KAM3415237.1
OG0002759	KAF2209245	KAM3415241.1
OG0002764	KAF2209253	KAM3415251.1
OG0002767	KAF2209261	KAM3415258.1
OG0002778	KAF2209282	KAM3415279.1
OG0002794	KAF2209315	KAM3415312.1
OG0002798	KAF2209321	KAM3415318.1
OG0002803	KAF2209328	KAM3415326.1
OG0002805	KAF2209330	KAM3415328.1
OG0002830	KAF2209378	KAM3415377.1
OG0002832	KAF2209380	KAM3415379.1
OG0002880	KAF2212144	KAM3416048.1
OG0002883	KAF2206622	KAM3416039.1
OG0002895	KAF2212460	KAM3415698.1
OG0002902	KAF2212485	KAM3415670.1
OG0002907	KAF2212503	KAM3415653.1
OG0002909	KAF2212507	KAM3415650.1
OG0002912	KAF2210973	KAM3415638.1
OG0002913	KAF2210972	KAM3415637.1
OG0002937	KAF2210937	KAM3415603.1
OG0002947	KAF2210917	KAM3415584.1
OG0002960	KAF2210894	KAM3415561.1
OG0002963	KAF2210888	KAM3415554.1
OG0002964	KAF2210885	KAM3415551.1
OG0002968	KAF2210879	KAM3415545.1
OG0002993	KAF2210836	KAM3415505.1
OG0002995	KAF2210834	KAM3415503.1
OG0002996	KAF2210833	KAM3415501.1
OG0003006	KAF2210820	KAM3415489.1
OG0003010	KAF2210811	KAM3415480.1
OG0003012	KAF2210807	KAM3415476.1
OG0003013	KAF2210805	KAM3415475.1
OG0003019	KAF2210799	KAM3415469.1
OG0003026	KAF2210790	KAM3415460.1
OG0003039	KAF2210779	KAM3415435.1
OG0003045	KAF2212226	KAM3415960.1
OG0003051	KAF2212190	KAM3415997.1
OG0003053	KAF2212184	KAM3416003.1
OG0003058	KAF2212242	KAM3415945.1
OG0003059	KAF2212245	KAM3415942.1
OG0003062	KAF2212256	KAM3415931.1
OG0003070	KAF2212274	KAM3415909.1
OG0003076	KAF2212293	KAM3415879.1
OG0003077	KAF2212291	KAM3415881.1
OG0003081	KAF2212284	KAM3415891.1
OG0003088	KAF2212313	KAM3415859.1
OG0003094	KAF2212338	KAM3415836.1
OG0003134	KAF2212420	KAM3415740.1
OG0003165	KAF2214478	KAM3422411.1
OG0003192	KAF2214445	KAM3422247.1
OG0003201	KAF2214329	KAM3422020.1
OG0003203	KAF2214322	KAM3422016.1
OG0003246	KAF2214371	KAM3422061.1
OG0003250	KAF2214380	KAM3422071.1
OG0003287	KAF2211091	KAM3421874.1
OG0003306	KAF2209458	KAM3421145.1
OG0003307	KAF2209459	KAM3421144.1
OG0003312	KAF2211101	KAM3421884.1
OG0003313	KAF2211103	KAM3421886.1
OG0003314	KAF2211106	KAM3421889.1
OG0003315	KAF2211107	KAM3421890.1
OG0003344	KAF2211163	KAM3421944.1
OG0003345	KAF2211159	KAM3421940.1
OG0003350	KAF2211147	KAM3421929.1
OG0003353	KAF2206681	KAM3422164.1
OG0003361	KAF2207395	KAM3422445.1
OG0003378	KAF2207382	KAM3422457.1
OG0003388	KAF2214203	KAM3422137.1
OG0003410	KAF2206940	KAM3422308.1
OG0003464	KAF2210212	KAM3421465.1
OG0003476	KAF2210179	KAM3421436.1
OG0003479	KAF2210175	KAM3421432.1
OG0003499	KAF2210724	KAM3421730.1
OG0003501	KAF2210726	KAM3421732.1
OG0003506	KAF2209593	KAM3421075.1
OG0003516	KAF2209551	KAM3421273.1
OG0003519	KAF2209538	KAM3421262.1
OG0003520	KAF2209539	KAM3421261.1
OG0003521	KAF2209540	KAM3421260.1
OG0003527	KAF2209530	KAM3421246.1
OG0003530	KAF2209521	KAM3421310.1
OG0003537	KAF2209502	KAM3421102.1
OG0003542	KAF2211064	KAM3421853.1
OG0003552	KAF2211031	KAM3421821.1
OG0003570	KAF2210990	KAM3421781.1
OG0003595	KAF2210624	KAM3421626.1
OG0003617	KAF2210683	KAM3421682.1
OG0003631	KAF2210981	KAM3421771.1
OG0003639	KAF2210551	KAM3421541.1
OG0003642	KAF2210545	KAM3421536.1
OG0003647	KAF2208185	KAM3421359.1
OG0003655	KAF2209431	KAM3421178.1
OG0003664	KAF2209601	KAM3421066.1
OG0003675	KAF2209642	KAM3421014.1
OG0003682	KAF2208032	KAM3421038.1
OG0003687	KAF2208050	KAM3420979.1
OG0003691	KAF2208077	KAM3413553.1
OG0003698	KAF2208090	KAM3413539.1
OG0003702	KAF2208113	KAM3413525.1
OG0003729	KAF2206501	KAM3422685.1
OG0003755	KAF2209171	KAM3422603.1
OG0003772	KAF2216166	KAM3422523.1
OG0003802	KAF2206980	KAM3423239.1
OG0003803	KAF2206979	KAM3423238.1
OG0003836	KAF2216303	KAM3422811.1
OG0003845	KAF2216324	KAM3422833.1
OG0003853	KAF2216335	KAM3422845.1
OG0003856	KAF2216339	KAM3422849.1
OG0003858	KAF2216343	KAM3422853.1
OG0003860	KAF2216345	KAM3422856.1
OG0003902	KAF2216434	KAM3422968.1
OG0003907	KAF2216426	KAM3422976.1
OG0003908	KAF2216425	KAM3422977.1
OG0003910	KAF2216420	KAM3422983.1
OG0003918	KAF2216405	KAM3423000.1
OG0003940	KAF2216218	KAM3422712.1
OG0003945	KAF2216225	KAM3422726.1
OG0003956	KAF2216250	KAM3422749.1
OG0003962	KAF2216258	KAM3422758.1
OG0003978	KAF2216633	KAM3423177.1
OG0003990	KAF2216571	KAM3423112.1
OG0003996	KAF2216579	KAM3423119.1
OG0004013	KAF2216538	KAM3423066.1
OG0004020	KAF2216523	KAM3423043.1
OG0004023	KAF2216517	KAM3423032.1
OG0004033	KAF2207003	KAM3423271.1
OG0004037	KAF2207011	KAM3423283.1
OG0004046	KAF2213302	KAM3423782.1
OG0004066	KAF2213188	KAM3423558.1
OG0004123	KAF2213004	KAM3423510.1
OG0004126	KAF2213262	KAM3423640.1
OG0004133	KAF2213250	KAM3423623.1
OG0004141	KAF2207777	KAM3423844.1
OG0004142	KAF2207778	KAM3423843.1
OG0004149	KAF2207788	KAM3423832.1
OG0004158	KAF2207802	KAM3423671.1
OG0004170	KAF2213116	KAM3423400.1
OG0004199	KAF2213064	KAM3423455.1
OG0004200	KAF2212998	KAM3423356.1
OG0004204	KAF2212991	KAM3423349.1
OG0004223	KAF2213241	KAM3423616.1
OG0004226	KAF2213244	KAM3423619.1
OG0004229	KAF2213143	KAM3423366.1
OG0004232	KAF2207743	KAM3423881.1
OG0004236	KAF2207751	KAM3423872.1
OG0004237	KAF2207752	KAM3423871.1
OG0004244	KAF2213320	KAM3423765.1
OG0004249	KAF2213332	KAM3423751.1
OG0004252	KAF2213336	KAM3423748.1
OG0004287	KAF2207564	KAM3423973.1
OG0004292	KAF2207613	KAM3423913.1
OG0004299	KAF2213282	KAM3423806.1
OG0004304	KAF2207811	KAM3423683.1
OG0004335	KAF2207701	KAM3419573.1
OG0004343	KAF2217579	KAM3420172.1
OG0004347	KAF2217593	KAM3420153.1
OG0004355	KAF2217606	KAM3420140.1
OG0004359	KAF2217615	KAM3420129.1
OG0004364	KAF2217631	KAM3420112.1
OG0004382	KAF2217671	KAM3420064.1
OG0004386	KAF2217689	KAM3420052.1
OG0004410	KAF2217995	KAM3419966.1
OG0004414	KAF2217982	KAM3419955.1
OG0004423	KAF2217961	KAM3419930.1
OG0004431	KAF2217947	KAM3419916.1
OG0004433	KAF2217945	KAM3419914.1
OG0004446	KAF2218020	KAM3419720.1
OG0004448	KAF2218023	KAM3419718.1
OG0004454	KAF2218033	KAM3419696.1
OG0004461	KAF2218051	KAM3419677.1
OG0004462	KAF2218052	KAM3419676.1
OG0004464	KAF2218054	KAM3419675.1
OG0004467	KAF2217865	KAM3419842.1
OG0004470	KAF2217859	KAM3419835.1
OG0004471	KAF2217858	KAM3419831.1
OG0004487	KAF2217807	KAM3419780.1
OG0004498	KAF2217760	KAM3419741.1
OG0004507	KAF2217371	KAM3420374.1
OG0004509	KAF2217376	KAM3420385.1
OG0004517	KAF2206233	KAM3420423.1
OG0004518	KAF2217398	KAM3420361.1
OG0004525	KAF2217413	KAM3420349.1
OG0004532	KAF2217895	KAM3419864.1
OG0004538	KAF2217874	KAM3419849.1
OG0004542	KAF2218059	KAM3419670.1
OG0004548	KAF2210401	KAM3420572.1
OG0004554	KAF2210420	KAM3420556.1
OG0004558	KAF2210427	KAM3420549.1
OG0004561	KAF2210430	KAM3420542.1
OG0004583	KAF2218110	KAM3419606.1
OG0004595	KAF2217558	KAM3420297.1
OG0004625	KAF2217495	KAM3420234.1
OG0004662	KAF2210126	KAM3420729.1
OG0004685	KAF2209074	KAM3420925.1
OG0004696	KAF2209037	KAM3420878.1
OG0004702	KAF2209021	KAM3420893.1
OG0004742	KAF2210319	KAM3420667.1
OG0004749	KAF2209104	KAM3420954.1
OG0004750	KAF2209097	KAM3420949.1
OG0004754	KAF2209092	KAM3420944.1
OG0004759	KAF2209083	KAM3420934.1
OG0004762	KAF2210061	KAM3420797.1
OG0004770	KAF2210040	KAM3420818.1
OG0004772	KAF2210036	KAM3420821.1
OG0004782	KAF2208979	KAM3424045.1
OG0004799	KAF2208894	KAM3424136.1
OG0004813	KAF2208943	KAM3424079.1
OG0004815	KAF2208946	KAM3424075.1
OG0004820	KAF2208958	KAM3424063.1
OG0004836	KAF2217224	KAM3424317.1
OG0004850	KAF2217344	KAM3424195.1
OG0004872	KAF2217255	KAM3424345.1
OG0004892	KAF2217103	KAM3424443.1
OG0004932	KAF2217207	KAM3424302.1
OG0004948	KAF2217075	KAM3424468.1
OG0004952	KAF2217065	KAM3424479.1
OG0004953	KAF2217063	KAM3424481.1
OG0004956	KAF2217060	KAM3424484.1
OG0004962	KAF2217043	KAM3424503.1
OG0004980	KAF2216982	KAM3424568.1
OG0005006	KAF2216921	KAM3424633.1
OG0005009	KAF2216936	KAM3424617.1
OG0005020	KAF2216868	KAM3424686.1
OG0005028	KAF2216847	KAM3424712.1
OG0005029	KAF2216843	KAM3424713.1
OG0005031	KAF2216841	KAM3424715.1
OG0005032	KAF2216839	KAM3424717.1
OG0005034	KAF2216832	KAM3424724.1
OG0005035	KAF2216829	KAM3424727.1
OG0005039	KAF2216825	KAM3424731.1
OG0005051	KAF2216775	KAM3424786.1
OG0005090	KAF2215628	KAM3425558.1
OG0005093	KAF2215637	KAM3425566.1
OG0005115	KAF2215683	KAM3425614.1
OG0005117	KAF2215687	KAM3425618.1
OG0005137	KAF2211708	KAM3425342.1
OG0005145	KAF2211731	KAM3425362.1
OG0005190	KAF2211843	KAM3425476.1
OG0005194	KAF2215551	KAM3425483.1
OG0005200	KAF2215561	KAM3425493.1
OG0005207	KAF2215585	KAM3425514.1
OG0005221	KAF2215621	KAM3425551.1
OG0005228	KAF2216086	KAM3424928.1
OG0005233	KAF2216065	KAM3424956.1
OG0005235	KAF2216060	KAM3424960.1
OG0005264	KAF2216000	KAM3425022.1
OG0005265	KAF2215997	KAM3425025.1
OG0005266	KAF2215991	KAM3425029.1
OG0005276	KAF2215969	KAM3425050.1
OG0005278	KAF2215966	KAM3425053.1
OG0005292	KAF2215930	KAM3425087.1
OG0005295	KAF2215925	KAM3425091.1
OG0005296	KAF2215919	KAM3425099.1
OG0005312	KAF2215868	KAM3425153.1
OG0005319	KAF2215878	KAM3425166.1
OG0005320	KAF2215857	KAM3425168.1
OG0005333	KAF2215825	KAM3425198.1
OG0005334	KAF2215823	KAM3425201.1
OG0005337	KAF2215818	KAM3425207.1
OG0005340	KAF2215809	KAM3425215.1
OG0005367	KAF2215703	KAM3425300.1
OG0005385	KAF2211648	KAM3425652.1
OG0005422	KAF2213785	KAM3416588.1
OG0005435	KAF2213828	KAM3416542.1
OG0005439	KAF2207080	KAM3417092.1
OG0005458	KAF2215335	KAM3416861.1
OG0005462	KAF2215137	KAM3416658.1
OG0005478	KAF2215098	KAM3416615.1
OG0005483	KAF2215086	KAM3416605.1
OG0005484	KAF2207026	KAM3417163.1
OG0005493	KAF2215294	KAM3416820.1
OG0005505	KAF2213901	KAM3416463.1
OG0005524	KAF2213948	KAM3416415.1
OG0005530	KAF2215262	KAM3416785.1
OG0005544	KAF2215202	KAM3416721.1
OG0005547	KAF2215195	KAM3416714.1
OG0005561	KAF2215170	KAM3416689.1
OG0005569	KAF2215349	KAM3416875.1
OG0005609	KAF2213966	KAM3416397.1
OG0005611	KAF2213969	KAM3416394.1
OG0005613	KAF2213971	KAM3416392.1
OG0005642	KAF2214070	KAM3416284.1
OG0005650	KAF2215520	KAM3417050.1
OG0005663	KAF2215449	KAM3416986.1
OG0005667	KAF2215461	KAM3416977.1
OG0005670	KAF2215469	KAM3416968.1
OG0005674	KAF2215485	KAM3416948.1
OG0005684	KAF2215507	KAM3417066.1
OG0005692	KAF2214022	KAM3416328.1
OG0005696	KAF2214029	KAM3416321.1
OG0005711	KAF2206853	KAM3416190.1
OG0005715	KAF2214112	KAM3416240.1
OG0005731	KAF2206880	KAM3416148.1
OG0005753	KAF2215541	KAM3417029.1
OG0005759	KAF2213842	KAM3416528.1
OG0005761	KAF2213847	KAM3416523.1
OG0005778	KAF2208452	KAM3417995.1
OG0005782	KAF2207201	KAM3418137.1
OG0005798	KAF2207183	KAM3418111.1
OG0005806	KAF2207178	KAM3418105.1
OG0005810	KAF2207166	KAM3418094.1
OG0005819	KAF2207152	KAM3418079.1
OG0005837	KAF2206365	KAM3418162.1
OG0005838	KAF2206367	KAM3418160.1
OG0005843	KAF2207108	KAM3418028.1
OG0005844	KAF2207109	KAM3418030.1
OG0005861	KAF2206344	KAM3418183.1
OG0005863	KAF2206335	KAM3418192.1
OG0005869	KAF2208440	KAM3417980.1
OG0005883	KAF2208394	KAM3417939.1
OG0005894	KAF2208373	KAM3417915.1
OG0005901	KAF2208327	KAM3417862.1
OG0005906	KAF2208337	KAM3417877.1
OG0005917	KAF2208321	KAM3417857.1
OG0005918	KAF2208320	KAM3417856.1
OG0005937	KAF2211893	KAM3417810.1
OG0005951	KAF2211935	KAM3417769.1
OG0005961	KAF2211955	KAM3417737.1
OG0005967	KAF2211972	KAM3417720.1
OG0005989	KAF2212116	KAM3417581.1
OG0005995	KAF2212104	KAM3417594.1
OG0005999	KAF2212096	KAM3417603.1
OG0006005	KAF2208718	KAM3417492.1
OG0006019	KAF2208679	KAM3417451.1
OG0006022	KAF2208668	KAM3417439.1
OG0006023	KAF2208667	KAM3417438.1
OG0006024	KAF2208646	KAM3417428.1
OG0006034	KAF2212050	KAM3417647.1
OG0006036	KAF2212045	KAM3417652.1
OG0006042	KAF2212032	KAM3417665.1
OG0006046	KAF2212020	KAM3417673.1
OG0006047	KAF2212019	KAM3417674.1
OG0006049	KAF2212011	KAM3417683.1
OG0006066	KAF2208762	KAM3417541.1
OG0006071	KAF2208752	KAM3417530.1
OG0006076	KAF2208734	KAM3417510.1
OG0006088	KAF2206846	KAM3417170.1
OG0006092	KAF2206839	KAM3417178.1
OG0006101	KAF2206812	KAM3417204.1
OG0006107	KAF2208624	KAM3417248.1
OG0006129	KAF2208567	KAM3417316.1
OG0006146	KAF2208519	KAM3417267.1
OG0006179	KAF2213366	KAM3413714.1
OG0006189	KAF2213395	KAM3413691.1
OG0006209	KAF2213505	KAM3414045.1
OG0006236	KAF2213674	KAM3414076.1
OG0006240	KAF2213685	KAM3414091.1
OG0006250	KAF2211400	KAM3414255.1
OG0006258	KAF2213433	KAM3413752.1
OG0006272	KAF2211336	KAM3414349.1
OG0006314	KAF2213548	KAM3414009.1
OG0006327	KAF2213642	KAM3413934.1
OG0006336	KAF2213620	KAM3413912.1
OG0006337	KAF2213617	KAM3413909.1
OG0006339	KAF2213614	KAM3413905.1
OG0006358	KAF2211353	KAM3414327.1
OG0006359	KAF2211354	KAM3414326.1
OG0006371	KAF2211235	KAM3414222.1
OG0006386	KAF2211209	KAM3414196.1
OG0006410	KAF2211298	KAM3414392.1
OG0006411	KAF2211299	KAM3414391.1
OG0006417	KAF2206302	KAM3413664.1
OG0006429	KAF2206778	KAM3413793.1
OG0006430	KAF2206780	KAM3413790.1
OG0006434	KAF2206296	KAM3413656.1
OG0006446	KAF2206558	KAM3415112.1
OG0006454	KAF2206476	KAM3415172.1
OG0006456	KAF2212517	KAM3415015.1
OG0006458	KAF2212519	KAM3415017.1
OG0006460	KAF2212612	KAM3414966.1
OG0006461	KAF2212614	KAM3414967.1
OG0006462	KAF2212608	KAM3414962.1
OG0006468	KAF2212595	KAM3414948.1
OG0006477	KAF2212839	KAM3414740.1
OG0006480	KAF2212822	KAM3414766.1
OG0006482	KAF2212820	KAM3414768.1
OG0006488	KAF2212788	KAM3414798.1
OG0006498	KAF2212743	KAM3414861.1
OG0006506	KAF2212734	KAM3414852.1
OG0006532	KAF2212669	KAM3415073.1
OG0006540	KAF2212655	KAM3415012.1
OG0006541	KAF2212654	KAM3415011.1
OG0006564	KAF2212623	KAM3414977.1
OG0006572	KAF2212553	KAM3415051.1
OG0006575	KAF2212561	KAM3415058.1
OG0006576	KAF2212562	KAM3415059.1
OG0006587	KAF2212843	KAM3414735.1
OG0006605	KAF2209940	KAM3414557.1
OG0006615	KAF2212933	KAM3414588.1
OG0006629	KAF2209840	KAM3414457.1
OG0006632	KAF2209844	KAM3414462.1
OG0006644	KAF2209884	KAM3414503.1
OG0006652	KAF2212904	KAM3414669.1
OG0006661	KAF2212866	KAM3414712.1
OG0006669	KAF2212646	KAM3415004.1
OG0006697	KAF2214714	KAM3418761.1
OG0006732	KAF2209655	KAM3418371.1
OG0006764	KAF2211557	KAM3419082.1
OG0006814	KAF2209304	KAM3415304.1
OG0006868	KAF2212351	KAM3415824.1
OG0006869	KAF2212356	KAM3415820.1
OG0006913	KAF2214332	KAM3422024.1
OG0006927	KAF2214538	KAM3422341.1
OG0006932	KAF2208245	KAM3421200.1
OG0006939	KAF2209460	KAM3421143.1
OG0006941	KAF2211113	KAM3421898.1
OG0006942	KAF2211122	KAM3421907.1
OG0006951	KAF2214216	KAM3422123.1
OG0006959	KAF2206924	KAM3422292.1
OG0006970	KAF2210193	KAM3421450.1
OG0006975	KAF2210728	KAM3421734.1
OG0006980	KAF2209565	KAM3421286.1
OG0006983	KAF2209542	KAM3421258.1
OG0006999	KAF2210605	KAM3421605.1
OG0007004	KAF2210661	KAM3421665.1
OG0007105	KAF2213190	KAM3423561.1
OG0007131	KAF2213087	KAM3423432.1
OG0007137	KAF2212962	KAM3423318.1
OG0007143	KAF2207756	KAM3423867.1
OG0007168	KAF2207697	KAM3419569.1
OG0007170	KAF2217589	KAM3420158.1
OG0007194	KAF2218056	KAM3419673.1
OG0007279	KAF2217328	KAM3424213.1
OG0007298	KAF2217290	KAM3424379.1
OG0007321	KAF2216959	KAM3424594.1
OG0007331	KAF2216812	KAM3424746.1
OG0007351	KAF2215640	KAM3425569.1
OG0007363	KAF2211764	KAM3425395.1
OG0007415	KAF2211666	KAM3425636.1
OG0007425	KAF2207037	KAM3417155.1
OG0007441	KAF2215293	KAM3416819.1
OG0007446	KAF2213923	KAM3416440.1
OG0007454	KAF2215163	KAM3416683.1
OG0007461	KAF2215348	KAM3416874.1
OG0007463	KAF2215361	KAM3416889.1
OG0007481	KAF2214069	KAM3416285.1
OG0007540	KAF2208316	KAM3417851.1
OG0007543	KAF2211854	KAM3417840.1
OG0007617	KAF2213751	KAM3414152.1
OG0007718	KAF2213089	KAM3423430.1
OG0007730	KAF2218047	KAM3419681.1
OG0007735	KAF2212865	KAM3414713.1
OG0007837	KAF2212457	KAM3415701.1
OG0007896	KAF2208221	KAM3421321.1
OG0007898	KAF2209455	KAM3421147.1
OG0007986	KAF2206508	KAM3422676.1
OG0008131	KAF2217434	KAM3420324.1
OG0008157	KAF2210471	KAM3420495.1
OG0008178	KAF2217329	KAM3424212.1
OG0008179	KAF2217330	KAM3424211.1
OG0008209	KAF2216962	KAM3424591.1
OG0008226	KAF2216834	KAM3424722.1
OG0008244	KAF2216687	KAM3424884.1
OG0008367	KAF2214004	KAM3416349.1
OG0008374	KAF2214109	KAM3416242.1
OG0008408	KAF2208418	KAM3417958.1
OG0008409	KAF2208393	KAM3417940.1
OG0008482	KAF2211397	KAM3414260.1
OG0008540	KAF2212604	KAM3414959.1
OG0008572	KAF2212917	KAM3414569.1
OG0009105	KAF2212290	KAM3415882.1
OG0009110	KAF2208881	KAM3424168.1
OG0009184	KAF2208353	KAM3417891.1
OG0009925	KAF2215979	KAM3420963.1
